Code commune,Nom Commune,KML
97221,RIVIERE-SALEE,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-60.929586604558587,14.518400656999686 -60.934460522405011,14.505964316624494 -60.9533999926592,14.496985264437548 -60.965682729561443,14.501800062931377 -60.983135739967182,14.501146393001603 -60.989379541304331,14.504073626153522 -60.99531700566785,14.500862146315916 -61.004140180740279,14.505799112376774 -61.003609361806085,14.509138206933425 -61.002754856566284,14.54129278380373 -60.995412729530003,14.550971628531348 -60.989307675676642,14.548967332928747 -60.979100610946091,14.551210878641101 -60.972968958873793,14.548076367712486 -60.96609690416355,14.548821010847494 -60.953997279413116,14.555077259226742 -60.930871013366364,14.546840527925243 -60.925220609707743,14.537971016367012 -60.923186758206761,14.52530207502747 -60.929586604558587,14.518400656999686</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97222,LE ROBERT,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-60.949419938820789,14.633582075302167 -60.96101741092091,14.655055208171058 -60.973025929742633,14.662353282256895 -60.98135987528336,14.677697609816635 -60.989127975522507,14.68397315510637 -60.987156822086106,14.690399150600067 -60.980647570340622,14.692592686441404 -60.977095414022173,14.698272821696605 -60.970384646942634,14.696117717861378 -60.967726362869321,14.702483228568944 -60.940216362363827,14.708656239600158 -60.929626864765908,14.717146340162994 -60.932971176988559,14.711022493136882 -60.931170053548371,14.70806962463198 -60.918292701779698,14.713032668074911 -60.915035733985306,14.711873854242857 -60.911162427113254,14.702314822238646 -60.904674051971739,14.699310480973702 -60.90756151286444,14.693426894590022 -60.91060534113511,14.691583839654157 -60.924407807000428,14.687813111585813 -60.928379465254444,14.682056341284277 -60.937665574411241,14.678732330812114 -60.94201350957934,14.66940923598386 -60.93348174697428,14.65867062596209 -60.928946684628571,14.653334985997656 -60.925391383031588,14.653384620676865 -60.91174159017767,14.663807716228437 -60.894690675968157,14.660906881182528 -60.885469478270224,14.665241819648275 -60.883585632536317,14.662306015003974 -60.885931505033021,14.655785234028286 -60.893893880028017,14.650074369886072 -60.898462418170567,14.654715101791092 -60.909158322574427,14.654332609844316 -60.928531608758703,14.634282726137547 -60.949419938820789,14.633582075302167</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97223,SAINT-ESPRIT,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-60.891038821645779,14.547479038576752 -60.898463559324554,14.537334869632984 -60.91196956558025,14.535431528091069 -60.925220609707743,14.537971016367012 -60.930871013366364,14.546840527925243 -60.953997279413116,14.555077259226742 -60.94965391902808,14.567283668908066 -60.935718121248279,14.588224885323926 -60.929242055129464,14.580224575068927 -60.912173798038616,14.576837659236611 -60.896774350900372,14.562892216785874 -60.891038821645779,14.547479038576752</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97224,SAINT-JOSEPH,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.039205707316356,14.641847108339997 -61.052241285246886,14.647685986105271 -61.063696607648026,14.661264772634839 -61.081484248852192,14.673802056356733 -61.083421651033134,14.691169168951287 -61.077672288472641,14.699959793153415 -61.077948127407112,14.703450362326739 -61.083535366500286,14.707933796868128 -61.086628740794318,14.721596237580544 -61.084773171341084,14.724617336460335 -61.078385534666459,14.716060600526321 -61.063909103275769,14.705674108319942 -61.041123037950321,14.695506006384129 -61.023771868041379,14.692367651056191 -60.994554438453889,14.673230379129333 -60.997303327002527,14.671058195165557 -60.997042913060106,14.657844377108832 -61.006872358927609,14.656853490065904 -61.015517874613415,14.651270447126338 -61.039379286122731,14.645291614669288 -61.039205707316356,14.641847108339997</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97225,SAINT-PIERRE,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.155725565253064,14.733236626299362 -61.161271965706305,14.729602558039435 -61.169669609452455,14.73367268284967 -61.179280465602496,14.732591709833363 -61.176728529566255,14.739078563775031 -61.179347834337882,14.749067479041512 -61.197149438403272,14.766134220714163 -61.204200832152566,14.77831750933324 -61.214084339586115,14.78162061568405 -61.206328628900813,14.79292061222373 -61.180853723210014,14.804677502306467 -61.169999772658009,14.812923977731529 -61.163789177375087,14.812440748128392 -61.158942566457078,14.807747845813731 -61.148480019468451,14.805901723880337 -61.145822654633371,14.78521217115347 -61.154902585081295,14.770283063943607 -61.157189046166543,14.760161454869484 -61.147614227536863,14.756840498317985 -61.133225685464417,14.746304790753578 -61.157134944497237,14.744526449128335 -61.158269358496959,14.735516221612794 -61.155725565253064,14.733236626299362</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97226,SAINTE-ANNE,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-60.823495770542507,14.47147448534046 -60.814665425273589,14.461263411691087 -60.821685682026313,14.453584735548649 -60.825192121887419,14.440090378229502 -60.835103393301274,14.425769249870374 -60.845039558495138,14.42607710353732 -60.847592883036782,14.423769116649703 -60.844240274345488,14.417603033939896 -60.837976240915204,14.414374091137372 -60.84007179686283,14.411456569785186 -60.847348286331062,14.411586282744619 -60.855877485932432,14.399962141104313 -60.862158462799002,14.396540144115319 -60.865816390669131,14.395976821462167 -60.873116124499873,14.396548659895641 -60.876213924696813,14.39835665597986 -60.883563335871479,14.406455829067708 -60.885388167371993,14.409571612362996 -60.890080708862804,14.419282408913961 -60.879624992681109,14.438598478195905 -60.884715833368539,14.44739129667791 -60.88262439832171,14.45184543332166 -60.877301916619352,14.446945082110714 -60.872504927375658,14.44823915836845 -60.872152330414444,14.455085383630497 -60.865992952965421,14.455309755169106 -60.864466760148105,14.464612152277283 -60.844709799155112,14.472808387273195 -60.823495770542507,14.47147448534046</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97227,SAINTE-LUCE,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-60.910486873397083,14.46900132606677 -60.917397448551746,14.469821665339854 -60.933670929323391,14.463034216088539 -60.954639355030871,14.466000664930293 -60.963658804450908,14.471527977400367 -60.973688106948465,14.469048184417616 -60.977405111807947,14.470282051135195 -60.978962554809357,14.481618401542439 -60.982517117233606,14.482380909968365 -60.984778677791972,14.484596230799884 -60.980295669759336,14.48905801364231 -60.983135739967182,14.501146393001603 -60.965682729561443,14.501800062931377 -60.9533999926592,14.496985264437548 -60.934460522405011,14.505964316624494 -60.929586604558587,14.518400656999686 -60.924169068612741,14.514467118749929 -60.923825674860652,14.507524135483328 -60.915527007657538,14.496317784219501 -60.910486873397083,14.46900132606677</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97228,SAINTE-MARIE,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.021880558261451,14.735348288700145 -61.029097532966283,14.735111666375513 -61.05278908894676,14.744059945012779 -61.052916176210552,14.757959691296001 -61.044400786832817,14.776602984952101 -61.045175732257817,14.786522912360086 -61.018711219336815,14.809439968501714 -61.01209985156315,14.807169027868731 -61.005321416301022,14.808962929826905 -60.997884900075356,14.790355395154219 -60.981517859648541,14.777525474730584 -60.972996578002814,14.763046673706871 -60.986018813637983,14.751666129703388 -60.99642329245242,14.750202263901851 -61.000191462737092,14.74431592038172 -61.006957489694216,14.742639301668291 -61.014839762200047,14.735613305452526 -61.021880558261451,14.735348288700145</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97229,SCHOELCHER,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-61.090782509424294,14.600181082160903 -61.105748630441376,14.620004146480035 -61.117535878584022,14.627591531763997 -61.116845909117579,14.641015273691616 -61.108653882402756,14.652462212211129 -61.106276755980424,14.673074701948222 -61.107693793342051,14.679936415171261 -61.115911137791301,14.690612903442423 -61.113158247499413,14.701986400128302 -61.10439920267514,14.700270196312871 -61.100802152953555,14.695360723244923 -61.102576314065942,14.688805255902523 -61.098157638309743,14.668345211532619 -61.082686305231128,14.637004056123715 -61.082254250627223,14.619423391967334 -61.090782509424294,14.600181082160903</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
97230,LA TRINITE,"<Polygon> <outerBoundaryIs> <LinearRing> <coordinates>-60.929626864765908,14.717146340162994 -60.940216362363827,14.708656239600158 -60.967726362869321,14.702483228568944 -60.970384646942634,14.696117717861378 -60.977095414022173,14.698272821696605 -60.976616255489134,14.704937592183921 -60.987314781281363,14.718748237654232 -60.998563405976988,14.727367242456229 -61.021880558261451,14.735348288700145 -61.014839762200047,14.735613305452526 -61.006957489694216,14.742639301668291 -61.000191462737092,14.74431592038172 -60.99642329245242,14.750202263901851 -60.986018813637983,14.751666129703388 -60.972996578002814,14.763046673706871 -60.967419391909765,14.758624026515882 -60.96275111839055,14.742371575249134 -60.957881867667126,14.737783319799558 -60.945903879473079,14.754611365940661 -60.933184493551153,14.761248045365374 -60.919119371881585,14.759919953587326 -60.888653073634018,14.778095090985726 -60.878096745780155,14.775919983885601 -60.872850539289075,14.771082633427449 -60.874108996513456,14.76103720063514 -60.877334940526616,14.759693398851381 -60.886530151489055,14.765226433466825 -60.893043807363256,14.762873326982502 -60.890831849560371,14.753437570905882 -60.8954391098396,14.744579033443927 -60.894863440068725,14.737814801776844 -60.897591927560036,14.736014323958438 -60.90845708135349,14.736799556427568 -60.914858843878712,14.745116421120999 -60.924825945764773,14.749606735349378 -60.935674324446758,14.750300266174669 -60.938343504472002,14.747884288377962 -60.9440111973462,14.739603267259723 -60.940592126936842,14.733898042973536 -60.944720546647098,14.725350225732445 -60.93780931230642,14.717815733148756 -60.928158828825204,14.720214580421723 -60.929626864765908,14.717146340162994</coordinates> </LinearRing> </outerBoundaryIs> </Polygon>"
